READ_WITH_WORD_WRAP_OFF
AVOID_SPACES_ALL_OVER_THE_INPUT_FILE

Genessee	%Project_name
1	%number_of_optimization_trials_to_run
500	%maximum_number_of_objective_function_evaluations_per_optimization_trial
0	%use_manual_random_feed?_-->_0:_No,____1:_Yes
1	%random_seeder_for_C++_random_number_generators
0.2	%r_val,_DDS_neighborhood_size_parameter_(0.2_is_default)._Allowable_range_is_(0.0,_1.0]._Controls_std_dev_of_perturbation.
3	%selection_metric_-->_0:_Random,____1:_Crowding_distance,_____2:_Hypervolume_Contribution_(ESTIMATE)_____3:_Hypervolume_Contribution_(EXACT)
30	%number_of_decesion_variables
2	%number_of_objective_functions
1	%code_of_objective_function_for_bio-dimension_problems
0	%track_best_solution_-->_0:_No,____1:_Yes
0	%resumability_-->_0:_No,____1:_Yes
0	%this_is_a_resume_-->_0:_No,____1:_Yes
